  0.0000000e+000  2.0921579e+000
  1.0000000e+000  5.7968760e+000
  2.0000000e+000  6.8182672e+000
  3.0000000e+000  5.7530368e+000
  4.0000000e+000  3.3239201e+000
  5.0000000e+000  4.0333758e+000
  6.0000000e+000  7.2089521e+000
  7.0000000e+000  1.0803925e+001
  8.0000000e+000  1.2712884e+001
  9.0000000e+000  1.2359762e+001
  1.0000000e+001  1.0490477e+001
  1.1000000e+001  1.0057906e+001
  1.2000000e+001  1.2469344e+001
  1.3000000e+001  1.6086389e+001
  1.4000000e+001  1.8872284e+001
  1.5000000e+001  1.8929529e+001
